id;batch_no;batch_name;participant_count;start_date;end_date;status
1;payment Ghana Handmade;Operations capacity;82960;2020-10-12;2020-10-12;PLANNED
2;info-mediaries;bluetooth Unbranded;36540;2020-10-12;2020-10-12;COMPLETED
3;Concrete wireless circuit;global;31204;2020-10-11;2020-10-11;INPROGRESS
4;transition Plastic;Pants;77571;2020-10-12;2020-10-11;POSTPONED
5;Officer;Grocery mindshare Generic;86367;2020-10-12;2020-10-12;INPROGRESS
6;Industrial;back-end analyzing calculating;6425;2020-10-12;2020-10-11;PLANNED
7;tan;navigating;88586;2020-10-11;2020-10-11;COMPLETED
8;Dominican Peso;Beauty;50688;2020-10-11;2020-10-12;COMPLETED
9;RSS Principal;COM SMS;41217;2020-10-12;2020-10-12;POSTPONED
10;Orchestrator Incredible;multi-byte cross-platform;73094;2020-10-12;2020-10-12;PLANNED
