id;course_no;course_name;status
1;New Taiwan Dollar connecting Fiji Dollar;seize;INPROGRESS
2;yellow;Wooden open-source;INPROGRESS
3;Chief;recontextualize synthesizing;PLANNED
4;generating Guarani Awesome;deposit compressing;PLANNED
5;reboot vortals;access;PLANNED
6;override fuchsia Palestinian Territory;Steel RAM Team-oriented;PLANNED
7;ROI;deposit;PLANNED
8;Quality neural;Soap;COMPLETED
9;Kids;online invoice;COMPLETED
10;Bhutan one-to-one Turkey;European Unit of Account 17(E.U.A.-17) structure;COMPLETED
