id;sprint_no;status;start_date;end_date
1;green Architect;COMPLETED;2020-10-11;2020-10-11
2;solid state Home;INPROGRESS;2020-10-11;2020-10-11
3;web-enabled;POSTPONED;2020-10-12;2020-10-11
4;wireless Cameroon;POSTPONED;2020-10-12;2020-10-12
5;lavender SSL Money Market Account;INPROGRESS;2020-10-12;2020-10-12
6;Checking Account Markets access;COMPLETED;2020-10-12;2020-10-12
7;Applications efficient Planner;POSTPONED;2020-10-12;2020-10-11
8;Leone connect;PLANNED;2020-10-11;2020-10-12
9;Jewelery;COMPLETED;2020-10-12;2020-10-12
10;New Mexico port;POSTPONED;2020-10-11;2020-10-12
